spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
900,Bud Greenspan’s Athens 2004: Stories of Olympic Glory,2005,Bud Greenspan,100 Years of Olympic Films,bud-greenspans-athens-2004-stories-of-olympic-glory-2005,471056,96,Documentary,United States of America,en,0.0747,6,2
900,Salt Lake City 2002: Stories of Olympic Glory,2003,Bud Greenspan,100 Years of Olympic Films,salt-lake-city-2002-stories-of-olympic-glory-2003,55454,120,Documentary,United States of America,en,0.5421,5.867,6
900,Sydney 2000: Stories of Olympic Glory,2001,Bud Greenspan,100 Years of Olympic Films,sydney-2000-stories-of-olympic-glory-2001,471051,116,Documentary,Australia,en,0.505,7.3,3
900,Olympic Glory,1999,Kieth Merrill,100 Years of Olympic Films,olympic-glory-1999,471050,42,Documentary,United States of America,en,0.5215,5.2,8
900,Nagano ’98 Olympics: Stories of Honor and Glory,1998,Bud Greenspan,100 Years of Olympic Films,nagano-98-olympics-stories-of-honor-and-glory-1998,471049,119,Documentary,United States of America,en,0.2391,5.8,5
900,Atlanta’s Olympic Glory,1997,Bud Greenspan,100 Years of Olympic Films,atlantas-olympic-glory-1997,471048,206,Documentary,United States of America,en,0.3044,4.4,5
900,Lillehammer ’94: 16 Days of Glory,1994,Bud Greenspan,100 Years of Olympic Films,lillehammer-94-16-days-of-glory-1994,471047,209,Documentary,United States of America,en,0.3537,5.2,6
900,Marathon,1993,Carlos Saura,100 Years of Olympic Films,marathon-1993,463104,130,Documentary,Spain,es,0.7339,4.5,6
900,"One Light, One World",1992,NA,100 Years of Olympic Films,one-light-one-world-1992,471045,104,Documentary,United States of America,en,0.4591,5.3,6
900,Beyond All Barriers,1989,Lee Ji-won,100 Years of Olympic Films,beyond-all-barriers-1989,471044,92,Documentary,South Korea,ko,0.0786,5,4
900,Hand in Hand,1989,Im Kwon-taek,100 Years of Olympic Films,hand-in-hand-1989,471043,119,Documentary,South Korea,ko,0.2112,6,5
900,Seoul 1988,1989,Lee Kwang-soo,100 Years of Olympic Films,seoul-1988-1989,471042,139,Documentary,South Korea,en,0.2083,6,9
900,Calgary ’88: 16 Days of Glory,1989,Bud Greenspan,100 Years of Olympic Films,calgary-88-16-days-of-glory-1989,471038,202,Documentary,Canada,en,0.1784,5,3
900,16 Days of Glory,1985,Bud Greenspan,100 Years of Olympic Films,16-days-of-glory-1985,376400,285,Documentary,United States of America,en,0.5868,7.2,11
900,A Turning Point,1984,Kim Takal,100 Years of Olympic Films,a-turning-point-1984,471036,82,Documentary,"United States of America, Yugoslavia",en,0.1109,5.3,6
900,"O Sport, You Are Peace!",1981,Yuri Ozerov,100 Years of Olympic Films,o-sport-you-are-peace-1981,335172,148,Documentary,Soviet Union,ru,0.8621,6.1,9
900,Olympic Spirit,1980,Drummond Challis & Tony Maylam,100 Years of Olympic Films,olympic-spirit-1980,471035,27,Documentary,United Kingdom,en,0.4551,5.3,6
