spine,title,year,director,boxset,movie_id,imdb_rating,metascore
1217,Emitaï,1971,Ousmane Sembène,Three Revolutionary Films by Ousmane Sembène,emitaï-1971,7.1,78
1216,Dogfight,1991,Nancy Savoca,Standalone Only,dogfight-1991,7.3,56
1215,Werckmeister Harmonies,2000,Béla Tarr & Ágnes Hranitzky,Standalone Only,werckmeister-harmonies-2000,8,93
1214,I Am Cuba,1964,Mikhail Kalatozov,Standalone Only,i-am-cuba-1964,8.2,91
1213,To Die For,1995,Gus Van Sant,Standalone Only,to-die-for-1995,6.8,86
1212,Saint Omer,2022,Alice Diop,Standalone Only,saint-omer-2022,6.8,91
1211,The Runner,1984,Amir Naderi,Standalone Only,the-runner-1984,7.6,NA
1210,All the Beauty and the Bloodshed,2022,Laura Poitras,Standalone Only,all-the-beauty-and-the-bloodshed-2022,7.5,91
1209,Nothing But a Man,1964,Michael Roemer,Standalone Only,nothing-but-a-man-1964,7.9,87
1208,The Roaring Twenties,1939,Raoul Walsh,Standalone Only,the-roaring-twenties-1939,7.9,80
1207,Heroic Trio 2: Executioners,1993,Johnnie To & Ching Siu-Tung,Standalone Only,heroic-trio-2-executioners-1993,5.8,NA
1207,The Heroic Trio,1993,Johnnie To,Standalone Only,the-heroic-trio-1993,6.6,NA
1206,A Tale of Autumn,1998,Eric Rohmer,Eric Rohmer’s Tales of the Four Seasons,a-tale-of-autumn-1998,NA,NA
1206,A Summer's Tale,1996,Eric Rohmer,Eric Rohmer’s Tales of the Four Seasons,a-summers-tale-1996,7.6,91
1206,A Tale of Winter,1992,Eric Rohmer,Eric Rohmer’s Tales of the Four Seasons,a-tale-of-winter-1992,7.2,NA
1206,A Tale of Springtime,1990,Eric Rohmer,Eric Rohmer’s Tales of the Four Seasons,a-tale-of-springtime-1990,7.1,NA
1205,Mudbound,2017,Dee Rees,Standalone Only,mudbound-2017,7.4,85
1204,Trainspotting,1996,Danny Boyle,Standalone Only,trainspotting-1996,8.1,83
1203,The Meetings of Anna,1978,Chantal Akerman,Chantal Akerman Masterpieces,the-meetings-of-anna-1978,7.3,NA
1203,News from Home,1976,Chantal Akerman,Chantal Akerman Masterpieces,news-from-home-1976,7.3,NA
1203,Je Tu Il Elle,1974,Chantal Akerman,Chantal Akerman Masterpieces,je-tu-il-elle-1974,NA,NA
1203,Le 15/8,1973,Chantal Akerman,Chantal Akerman Masterpieces,le-158-1973,NA,NA
1203,Hotel Monterey,1973,Chantal Akerman,Chantal Akerman Masterpieces,hotel-monterey-1973,6.2,NA
1203,The Chamber,1972,Chantal Akerman,Chantal Akerman Masterpieces,the-chamber-1972,NA,NA
1203,"The Beloved Child, or I Play at Being a Married Woman",1971,Chantal Akerman,Chantal Akerman Masterpieces,the-beloved-child-or-i-play-at-being-a-married-woman-1971,NA,NA
1203,Saute ma ville,1968,Chantal Akerman,Chantal Akerman Masterpieces,saute-ma-ville-1968,NA,NA
1202,Lone Star,1996,John Sayles,Standalone Only,lone-star-1996,7.4,79
1201,Guillermo del Toro's Pinocchio,2022,Guillermo del Toro,Standalone Only,guillermo-del-toros-pinocchio-2022,7.6,79
1200,Circus Angel,1965,Albert Lamorisse,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,circus-angel-1965,7,NA
1200,Stowaway in the Sky,1960,Albert Lamorisse,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,stowaway-in-the-sky-1960,6.6,NA
1200,The Red Balloon,1956,Albert Lamorisse,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,the-red-balloon-1956,8.1,NA
1200,White Mane,1953,Albert Lamorisse,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,white-mane-1953,7.2,NA
1200,"Bim, the Little Donkey",1951,Albert Lamorisse,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,bim-the-little-donkey-1951,6.7,NA
1199,La Cérémonie,1995,Claude Chabrol,Standalone Only,la-cérémonie-1995,NA,NA
1198,Mean Streets,1973,Martin Scorsese,Standalone Only,mean-streets-1973,7.2,96
1197,My Lucky Stars,1985,Sammo Hung,Jackie Chan: Emergence of a Superstar,my-lucky-stars-1985,6.3,NA
1197,The Young Master,1980,Jackie Chan,Jackie Chan: Emergence of a Superstar,the-young-master-1980,7,NA
1197,Fearless Hyena 2,1983,Chan Chuen,Jackie Chan: Emergence of a Superstar,fearless-hyena-2-1983,5,NA
1197,Fearless Hyena,1979,Jackie Chan,Jackie Chan: Emergence of a Superstar,fearless-hyena-1979,6.6,NA
1197,Spiritual Kung Fu,1978,Lo Wei,Jackie Chan: Emergence of a Superstar,spiritual-kung-fu-1978,5.8,NA
1197,Half a Loaf of Kung Fu,1978,Chan Chi-hwa,Jackie Chan: Emergence of a Superstar,half-a-loaf-of-kung-fu-1978,5.6,NA
1196,Nanny,2022,Nikyatu Jusu,Standalone Only,nanny-2022,5.3,72
1195,The Others,2001,Alejandro Amenábar,Standalone Only,the-others-2001,7.6,74
1194,Freaks,1932,Tod Browning,Tod Browning's Sideshow Shockers,freaks-1932,7.8,80
1194,The Unknown,1927,Tod Browning,Tod Browning's Sideshow Shockers,the-unknown-1927,7.7,NA
1194,The Mystic,1925,Tod Browning,Tod Browning's Sideshow Shockers,the-mystic-1925,6.7,NA
1193,La Bamba,1987,Luis Valdez,Standalone Only,la-bamba-1987,7,65
1192,Moonage Daydream,2022,Brett Morgen,Standalone Only,moonage-daydream-2022,7.6,83
1191,The Trial,1962,Orson Welles,Standalone Only,the-trial-1962,7.6,NA
1190,Drylongso,1998,Cauleen Smith,Standalone Only,drylongso-1998,6.5,NA
1189,Adalen 31,1969,Bo Widerberg,Bo Widerberg’s New Swedish Cinema,adalen-31-1969,7,NA
1189,Elvira Madigan,1967,Bo Widerberg,Bo Widerberg’s New Swedish Cinema,elvira-madigan-1967,7,NA
1189,Raven's End,1963,Bo Widerberg,Bo Widerberg’s New Swedish Cinema,ravens-end-1963,7.4,NA
1189,The Baby Carriage,1963,Bo Widerberg,Bo Widerberg’s New Swedish Cinema,the-baby-carriage-1963,6.7,NA
1188,Dim Sum: A Little Bit of Heart,1985,Wayne Wang,Standalone Only,dim-sum-a-little-bit-of-heart-1985,6.6,NA
1187,One False Move,1991,Carl Franklin,Standalone Only,one-false-move-1991,7.1,87
1186,Comanche Station,1960,Budd Boetticher,The Ranown Westerns: Five Films Directed by Budd Boetticher,comanche-station-1960,7,NA
1186,Ride Lonesome,1959,Budd Boetticher,The Ranown Westerns: Five Films Directed by Budd Boetticher,ride-lonesome-1959,7.1,NA
1186,Buchanan Rides Alone,1958,Budd Boetticher,The Ranown Westerns: Five Films Directed by Budd Boetticher,buchanan-rides-alone-1958,6.8,NA
1186,Decision at Sundown,1957,Budd Boetticher,The Ranown Westerns: Five Films Directed by Budd Boetticher,decision-at-sundown-1957,6.8,NA
1186,The Tall T,1957,Budd Boetticher,The Ranown Westerns: Five Films Directed by Budd Boetticher,the-tall-t-1957,7.3,NA
1185,After Hours,1985,Martin Scorsese,Standalone Only,after-hours-1985,7.6,89
1184,The Watermelon Woman,1996,Cheryl Dunye,Standalone Only,the-watermelon-woman-1996,7.1,74
1183,Medicine for Melancholy,2008,Barry Jenkins,Standalone Only,medicine-for-melancholy-2008,6.6,62
1182,The Servant,1963,Joseph Losey,Standalone Only,the-servant-1963,7.7,94
1181,Petite Maman,2021,Céline Sciamma,Standalone Only,petite-maman-2021,7.4,93
1180,Thelma & Louise,1991,Ridley Scott,Standalone Only,thelma-louise-1991,7.6,89
1179,Targets,1968,Peter Bogdanovich,Standalone Only,targets-1968,7.3,NA
1178,Triangle of Sadness,2022,Ruben Östlund,Standalone Only,triangle-of-sadness-2022,7.2,63
1177,Mangrove,2020,Steve McQueen,Standalone Only,mangrove-2020,NA,NA
1177,Lovers Rock,2020,Steve McQueen,Standalone Only,lovers-rock-2020,NA,NA
1177,"Red, White and Blue",2020,Steve McQueen,Standalone Only,red-white-and-blue-2020,NA,NA
1177,Alex Wheatle,2020,Steve McQueen,Standalone Only,alex-wheatle-2020,NA,NA
1177,Education,2020,Steve McQueen,Standalone Only,education-2020,NA,NA
1176,Chilly Scenes of Winter,1979,Joan Micklin Silver,Standalone Only,chilly-scenes-of-winter-1979,6.9,NA
1175,Inland Empire,2006,David Lynch,Standalone Only,inland-empire-2006,6.8,73
1174,Last Hurrah for Chivalry,1979,John Woo,Standalone Only,last-hurrah-for-chivalry-1979,7,NA
1173,Hollywood Shuffle,1987,Robert Townsend,Standalone Only,hollywood-shuffle-1987,6.9,74
1172,"Baxter, Vera Baxter",1977,Marguerite Duras,Two Films by Marguerite Duras,baxter-vera-baxter-1977,6,NA
1172,India Song,1975,Marguerite Duras,Two Films by Marguerite Duras,india-song-1975,6.1,NA
1171,Romeo and Juliet,1968,Franco Zeffirelli,Standalone Only,romeo-and-juliet-1968,7.6,69
1170,Bergman Island,2021,Mia Hansen-Løve,Standalone Only,bergman-island-2021,6.6,80
1169,"This Is Not a Burial, It's a Resurrection",2019,Lemohang Jeremiah Mosese,Standalone Only,this-is-not-a-burial-its-a-resurrection-2019,7.3,91
1168,Epidemic,1987,Lars von Trier,Lars von Trier’s Europe Trilogy,epidemic-1987,6,66
1167,Imitation of Life,1934,John M. Stahl,Standalone Only,imitation-of-life-1934,7.5,72
1166,The Adventures of Baron Munchausen,1988,Terry Gilliam,Standalone Only,the-adventures-of-baron-munchausen-1988,7.1,69
1165,Cooley High,1975,Michael Schultz,Standalone Only,cooley-high-1975,7.1,72
1164,The Velvet Underground,2021,Todd Haynes,Standalone Only,the-velvet-underground-2021,7.3,87
1163,71 Fragments of a Chronology of Chance,1994,Michael Haneke,Michael Haneke: Trilogy,71-fragments-of-a-chronology-of-chance-1994,7.2,71
1163,Benny's Video,1992,Michael Haneke,Michael Haneke: Trilogy,bennys-video-1992,7.1,60
1163,The Seventh Continent,1989,Michael Haneke,Michael Haneke: Trilogy,the-seventh-continent-1989,7.6,89
1162,The Girls,1968,Mai Zetterling,Three Films by Mai Zetterling,the-girls-1968,6.7,NA
1162,Night Games,1966,Mai Zetterling,Three Films by Mai Zetterling,night-games-1966,6.3,NA
1162,Loving Couples,1964,Mai Zetterling,Three Films by Mai Zetterling,loving-couples-1964,6.6,NA
1161,WALL·E,2008,Andrew Stanton,Standalone Only,walle-2008,8.4,95
1160,Malcolm X,1992,Spike Lee,Standalone Only,malcolm-x-1992,7.7,73
1159,Infernal Affairs III,2003,Andrew Lau & Alan Mak,Standalone Only,infernal-affairs-iii-2003,6.8,NA
1159,Infernal Affairs II,2003,Andrew Lau & Alan Mak,Standalone Only,infernal-affairs-ii-2003,7.2,NA
1159,Infernal Affairs,2002,Andrew Lau & Alan Mak,Standalone Only,infernal-affairs-2002,8,75
1158,The Power of the Dog,2021,Jane Campion,Standalone Only,the-power-of-the-dog-2021,6.8,89
1157,Daisies,1966,Věra Chytilová,Standalone Only,daisies-1966,7.3,NA
1156,La Llorona,2019,Jayro Bustamante,Standalone Only,la-llorona-2019,6.6,79
1155,Cure,1997,Kiyoshi Kurosawa,Standalone Only,cure-1997,7.5,70
1154,Eve's Bayou,1997,Kasi Lemmons,Standalone Only,eves-bayou-1997,7.2,78
1153,Arsenic and Old Lace,1944,Frank Capra,Standalone Only,arsenic-and-old-lace-1944,7.9,NA
