movie_id,director
dance-girl-dance-1940,Dorothy Arzner
the-great-escape-1963,John Sturges
me-and-you-and-everyone-we-know-2005,Miranda July
the-grand-budapest-hotel-2014,Wes Anderson
destry-rides-again-1939,George Marshall
the-cremator-1969,Juraj Herz
the-prince-of-tides-1991,Barbra Streisand
show-boat-1936,James Whale
leave-her-to-heaven-1945,John M. Stahl
bamboozled-2000,Spike Lee
paris-is-burning-1990,Jennie Livingston
the-fabulous-baron-munchausen-1962,Karel Zeman
the-fabulous-world-of-jules-verne-1958,Karel Zeman
journey-to-the-beginning-of-time-1955,Karel Zeman
roma-2018,Alfonso Cuarón
theorem-1968,Pier Paolo Pasolini
all-about-my-mother-1999,Pedro Almodóvar
fail-safe-1964,Sidney Lumet
the-little-soldier-1963,Jean-Luc Godard
holiday-1938,George Cukor
old-joy-2006,Kelly Reichardt
until-the-end-of-the-world-1991,Wim Wenders
the-story-of-temple-drake-1933,Stephen Roberts
cold-war-2018,Paweł Pawlikowski
now-voyager-1942,Irving Rapper
all-about-eve-1950,Joseph L. Mankiewicz
betty-blue-1986,Jean-Jacques Beineix
the-daytrippers-1996,Greg Mottola
terror-of-mechagodzilla-1975,Ishirō Honda
godzilla-vs-mechagodzilla-1974,Jun Fukuda
godzilla-vs-megalon-1973,Jun Fukuda
godzilla-vs-gigan-1972,Jun Fukuda
godzilla-vs-hedorah-1971,Yoshimitsu Banno
all-monsters-attack-1969,Ishirō Honda
destroy-all-monsters-1968,Ishirō Honda
son-of-godzilla-1967,Jun Fukuda
ebirah-horror-of-the-deep-1966,Jun Fukuda
invasion-of-astromonster-1965,Ishirō Honda
ghidorah-the-threeheaded-monster-1964,Ishirō Honda
mothra-vs-godzilla-1964,Ishirō Honda
king-kong-vs-godzilla-1963,Ishirō Honda
king-kong-vs-godzilla-1963,Thomas Montgomery
king-kong-vs-godzilla-1962,Ishirō Honda
godzilla-raids-again-1955,Ishirō Honda
matewan-1987,John Sayles
when-we-were-kings-1996,Leon Gast
cluny-brown-1946,Ernst Lubitsch
the-circus-1928,Charlie Chaplin
polyester-1981,John Waters
local-hero-1983,Bill Forsyth
the-cloudcapped-star-1960,Ritwik Ghatak
through-the-olive-trees-1994,Abbas Kiarostami
life-and-nothing-more-1992,Abbas Kiarostami
where-is-the-friends-house-1987,Abbas Kiarostami
the-flavor-of-green-tea-over-rice-1952,Yasujirō Ozu
the-inland-sea-1991,Lucille Carra
klute-1971,Alan J. Pakula
the-bakers-wife-1938,Marcel Pagnol
europa-europa-1990,Agnieszka Holland
nineteen-eightyfour-1984,Michael Radford
war-and-peace-1965,Sergei Bondarchuk
hedwig-and-the-angry-inch-2001,John Cameron Mitchell
humanité-1999,Bruno Dumont
the-life-of-jesus-1997,Bruno Dumont
swing-time-1936,George Stevens
one-sings-the-other-doesnt-1977,Agnès Varda
blue-velvet-1986,David Lynch
let-the-sunshine-in-2017,Claire Denis
funny-games-1997,Michael Haneke
the-heiress-1949,William Wyler
my-brilliant-career-1979,Gillian Armstrong
police-story-2-1988,Jackie Chan
police-story-1985,Jackie Chan
a-face-in-the-crowd-1957,Elia Kazan
diamonds-of-the-night-1964,Jan Němec
japón-2002,Carlos Reygadas
i-wanna-hold-your-hand-1978,Robert Zemeckis
detour-1945,Edgar G. Ulmer
wanda-1970,Barbara Loden
the-kid-brother-1927,Ted Wilde
to-sleep-with-anger-1990,Charles Burnett
death-in-venice-1971,Luchino Visconti
shame-1968,Ingmar Bergman
the-truth-1960,Henri-Georges Clouzot
in-the-heat-of-the-night-1967,Norman Jewison
4-months-3-weeks-and-2-days-2007,Cristian Mungiu
mikey-and-nicky-1976,Elaine May
24-frames-2017,Abbas Kiarostami
panic-1946,Julien Duvivier
forty-guns-1957,Samuel Fuller
a-dry-white-season-1989,Euzhan Palcy
