spine,title,year,director,boxset,runtime_min,genre,country,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
695,Blue Is the Warmest Color,2013,Abdellatif Kechiche,Standalone,180,"Romance, Drama","Belgium, France, Spain",French,3.7619,7.1,4830,7.6,NA,152584,blue-is-the-warmest-color-2013
694,The Long Day Closes,1992,Terence Davies,Standalone,85,Drama,United Kingdom,English,0.9556,7.204,120,7.3,85,49956,the-long-day-closes-1992
693,La Vie de Bohème,1992,Aki Kaurismäki,Standalone,103,"Comedy, Drama, Romance","France, Finland, Germany, Sweden",French,0.8438,7.5,145,7.6,NA,28212,la-vie-de-bohème-1992
692,"It's a Mad, Mad, Mad, Mad World",1963,Stanley Kramer,Standalone,192,"Action, Adventure, Comedy, Crime",United States of America,English,3.0602,6.976,671,7.5,59,11576,its-a-mad-mad-mad-mad-world-1963
691,Thief,1981,Michael Mann,Standalone,123,"Crime, Thriller, Drama",United States of America,English,3.1817,7.2,813,7.4,78,11524,thief-1981
690,The Housemaid,1960,Kim Ki-young,Martin Scorsese's World Cinema Project No. 1,112,"Crime, Drama",South Korea,Korean,1.8461,7.105,191,7.2,NA,42506,the-housemaid-1960
689,Trances,1981,Ahmed El Maânouni,Martin Scorsese's World Cinema Project No. 1,90,"Documentary, Music","France, Morocco",Arabic,0.6604,6.8,19,6.7,NA,215407,trances-1981
688,Dry Summer,1963,Metin Erksan,Martin Scorsese's World Cinema Project No. 1,90,"Drama, Crime, Western",Turkey,Turkish,1.0856,7.5,91,7.8,NA,58897,dry-summer-1963
687,A River Called Titas,1973,Ritwik Ghatak,Martin Scorsese's World Cinema Project No. 1,159,"Drama, Family","Bangladesh, India",Bengali,0.4602,6.7,31,7.2,NA,93164,a-river-called-titas-1973
686,Redes,1936,"Emilio Gómez Muriel, Fred Zinnemann",Martin Scorsese's World Cinema Project No. 1,61,Drama,Mexico,Spanish; Castilian,1.8888,6.3,23,6.9,NA,195522,redes-1936
685,Touki Bouki,1973,Djibril Diop Mambéty,Martin Scorsese's World Cinema Project No. 1,91,"Drama, Romance",Senegal,Wolof,1.9042,6.665,112,7,NA,77771,touki-bouki-1973
683,Nashville,1975,Robert Altman,Standalone,160,"Drama, Comedy, Music",United States of America,English,4.585,7.238,455,7.6,96,3121,nashville-1975
682,Investigation of a Citizen Above Suspicion,1970,Elio Petri,Standalone,111,"Drama, Thriller",Italy,Italian,1.4954,8.169,857,8,89,26451,investigation-of-a-citizen-above-suspicion-1970
681,Frances Ha,2012,Noah Baumbach,Standalone,86,"Comedy, Drama","Brazil, United States of America",English,2.9446,7.334,1802,7.4,82,121986,frances-ha-2012
680,City Lights,1931,Charlie Chaplin,Standalone,87,"Comedy, Drama, Romance",United States of America,None Spoken,2.9469,8.3,2417,8.5,99,901,city-lights-1931
679,Zatoichi's Conspiracy,1973,Kimiyoshi Yasuda,Zatoichi: The Blind Swordsman,88,"Action, Drama, Adventure",Japan,Japanese,1.1496,6.9,34,7.1,NA,54307,zatoichis-conspiracy-1973
679,Zatoichi in Desperation,1972,Shintaro Katsu,Zatoichi: The Blind Swordsman,92,"Adventure, Action, Drama",Japan,Japanese,0.9855,6.6,34,6.8,NA,54306,zatoichi-in-desperation-1972
679,Zatoichi at Large,1972,Kazuo Mori,Zatoichi: The Blind Swordsman,88,"Adventure, Action, Drama",Japan,Japanese,1.2107,6.5,36,6.8,NA,54284,zatoichi-at-large-1972
679,Zatoichi Meets the One-Armed Swordsman,1971,Kimiyoshi Yasuda,Zatoichi: The Blind Swordsman,94,"Adventure, Action, Drama","Hong Kong, Japan",Japanese,1.492,6.8,45,7.1,NA,24444,zatoichi-meets-the-onearmed-swordsman-1971
679,Zatoichi Goes to the Fire Festival,1970,Kenji Misumi,Zatoichi: The Blind Swordsman,96,"Adventure, Action, Drama",Japan,Japanese,1.923,6.7,44,7.3,NA,54283,zatoichi-goes-to-the-fire-festival-1970
679,Zatoichi Meets Yojimbo,1970,Kihachi Okamoto,Zatoichi: The Blind Swordsman,115,"Adventure, Action, Drama",Japan,Japanese,1.4209,6.7,76,7,NA,42601,zatoichi-meets-yojimbo-1970
679,Samaritan Zatoichi,1968,Kenji Misumi,Zatoichi: The Blind Swordsman,84,"Adventure, Action, Drama",Japan,Japanese,1.448,6.7,41,7.2,NA,54281,samaritan-zatoichi-1968
679,Zatoichi and the Fugitives,1968,Kimiyoshi Yasuda,Zatoichi: The Blind Swordsman,82,"Adventure, Action, Drama",Japan,Japanese,1.2668,7,37,7.3,NA,54280,zatoichi-and-the-fugitives-1968
679,Zatoichi Challenged,1967,Kenji Misumi,Zatoichi: The Blind Swordsman,87,"Adventure, Action, Drama",Japan,Japanese,1.5577,6.8,40,7.4,NA,54279,zatoichi-challenged-1967
679,Zatoichi the Outlaw,1967,Satsuo Yamamoto,Zatoichi: The Blind Swordsman,96,"Adventure, Action, Drama",Japan,Japanese,1.5819,6.6,40,7,NA,54278,zatoichi-the-outlaw-1967
679,Zatoichi's Cane Sword,1967,Kimiyoshi Yasuda,Zatoichi: The Blind Swordsman,93,"Adventure, Action, Drama",Japan,Japanese,1.1163,7.3,44,7.4,NA,54277,zatoichis-cane-sword-1967
