spine,title,year,boxset,runtime_min,language,tmdb_popularity,tmdb_vote_avg,tmdb_vote_count,imdb_rating,metascore,tmdb_id,movie_id
533,Crumb,1994,Standalone,121,English,2.7776,7.513,276,8,93,26564,crumb-1994
532,Louie Bluie,1985,Standalone,60,English,0.421,7.5,12,7.6,NA,87065,louie-bluie-1985
531,The Docks of New York,1928,Three Silent Classics by Josef von Sternberg,76,None Spoken,0.976,6.9,115,7.5,NA,885,the-docks-of-new-york-1928
530,The Last Command,1928,Three Silent Classics by Josef von Sternberg,88,None Spoken,0.9803,7.33,88,7.9,NA,52679,the-last-command-1928
529,Underworld,1927,Three Silent Classics by Josef von Sternberg,87,None Spoken,1.1023,7,85,7.5,NA,42565,underworld-1927
527,The Secret of the Grain,2007,Standalone,155,French,1.1506,7.006,236,7.4,83,8280,the-secret-of-the-grain-2007
526,There Was a Father,1942,Two Films by Yasujirō Ozu,93,Japanese,3.3946,7,82,7.5,NA,27372,there-was-a-father-1942
525,The Only Son,1936,Two Films by Yasujirō Ozu,87,Japanese,1.6658,7.4,110,7.7,NA,52047,the-only-son-1936
523,Night Train to Munich,1940,Standalone,96,English,0.9826,7.3,86,7.2,NA,41597,night-train-to-munich-1940
522,Red Desert,1964,Standalone,117,Italian,1.7419,7.3,501,7.4,NA,26638,red-desert-1964
521,Mystery Train,1989,Standalone,106,English,2.8674,7.347,500,7.5,80,11305,mystery-train-1989
520,Everlasting Moments,2008,Standalone,131,Swedish,1.1035,7.321,78,7.5,80,17077,everlasting-moments-2008
519,Close-Up,1990,Standalone,98,Persian,1.8281,7.945,442,8.2,92,30017,closeup-1990
517,Chinese Series,2003,By Brakhage: An Anthology Volume Two,3,English,0.1072,5.1,30,5,NA,146693,chinese-series-2003
517,Persian Series #3,1999,By Brakhage: An Anthology Volume Two,2,English,0.1985,5.5,22,5.6,NA,385625,persian-series-3-1999
517,Persian Series #2,1999,By Brakhage: An Anthology Volume Two,2,English,0.148,5.7,22,5.9,NA,385624,persian-series-2-1999
517,Persian Series #1,1999,By Brakhage: An Anthology Volume Two,2,English,0.1111,5.2,23,5.4,NA,385623,persian-series-1-1999
517,"""..."" Reel 5",1998,By Brakhage: An Anthology Volume Two,12,English,3.357,5.5,17,5.4,NA,163360,-reel-5-1998
517,Yggdrasill: Whose Roots Are Stars in the Human Mind,1997,By Brakhage: An Anthology Volume Two,17,English,0.1001,5.9,14,6,NA,164609,yggdrasill-whose-roots-are-stars-in-the-human-mind-1997
517,The Cat of the Worm's Green Realm,1997,By Brakhage: An Anthology Volume Two,14,English,0.0792,4.6,13,5.8,NA,164607,the-cat-of-the-worms-green-realm-1997
517,I Take These Truths,1995,By Brakhage: An Anthology Volume Two,18,English,0.0691,5.2,12,6.4,NA,164606,i-take-these-truths-1995
517,From: First Hymn to the Night – Novalis,1994,By Brakhage: An Anthology Volume Two,3,English,0.0547,5,24,5.3,NA,146662,from-first-hymn-to-the-night-novalis-1994
517,The Mammals of Victoria,1994,By Brakhage: An Anthology Volume Two,34,English,0.0474,5,15,6,NA,164604,the-mammals-of-victoria-1994
517,Boulder Blues and Pearls and...,1993,By Brakhage: An Anthology Volume Two,22,English,0.1069,5.5,14,6,NA,164603,boulder-blues-and-pearls-and-1993
517,Unconscious London Strata,1981,By Brakhage: An Anthology Volume Two,22,English,0.1572,5.1,17,5.4,NA,164602,unconscious-london-strata-1981
517,Visions in Meditation #4: D.H. Lawrence,1990,By Brakhage: An Anthology Volume Two,17,English,0.1012,5.1,15,5.7,NA,164601,visions-in-meditation-4-dh-lawrence-1990
517,Visions in Meditation #3: Plato's Cave,1990,By Brakhage: An Anthology Volume Two,16,English,0.2885,5.7,16,6,NA,164599,visions-in-meditation-3-platos-cave-1990
517,Visions in Meditation #2: Mesa Verde,1989,By Brakhage: An Anthology Volume Two,16,English,0.0677,5.3,16,5.8,NA,164597,visions-in-meditation-2-mesa-verde-1989
517,Visions in Meditation #1,1989,By Brakhage: An Anthology Volume Two,16,English,0.1578,4.7,17,5.8,NA,164596,visions-in-meditation-1-1989
517,Arabic Numeral Series 12,1981,By Brakhage: An Anthology Volume Two,18,English,0.0214,4.8,16,5.3,NA,322775,arabic-numeral-series-12-1981
517,Murder Psalm,1980,By Brakhage: An Anthology Volume Two,16,English,0.0527,6.1,18,6.2,NA,164593,murder-psalm-1980
517,The Domain of the Moment,1977,By Brakhage: An Anthology Volume Two,15,English,0.1477,5.6,15,5.9,NA,164592,the-domain-of-the-moment-1977
517,Duplicity III,1980,By Brakhage: An Anthology Volume Two,22,None Spoken,0.1567,5.2,14,5.6,NA,164591,duplicity-iii-1980
517,Burial Path,1978,By Brakhage: An Anthology Volume Two,6,English,0.1782,5,20,5.6,NA,144992,burial-path-1978
517,The Process,1972,By Brakhage: An Anthology Volume Two,8,English,0.1532,4.6,20,4.8,NA,155002,the-process-1972
517,Desert,1976,By Brakhage: An Anthology Volume Two,11,English,0.1004,5.1,18,5.6,NA,164590,desert-1976
517,Star Garden,1974,By Brakhage: An Anthology Volume Two,22,English,0.1138,5.7,18,6,NA,164585,star-garden-1974
517,The Machine of Eden,1970,By Brakhage: An Anthology Volume Two,11,English,0.1613,5.4,19,5.9,NA,144943,the-machine-of-eden-1970
517,"Scenes from Under Childhood, Section One",1968,By Brakhage: An Anthology Volume Two,24,English,0.8045,4.6,17,5.8,NA,102389,scenes-from-under-childhood-section-one-1968
517,23rd Psalm Branch,1967,By Brakhage: An Anthology Volume Two,63,English,0.2085,8.2,4,6.6,NA,435421,23rd-psalm-branch-1967
517,Two: Creeley/McClure,1965,By Brakhage: An Anthology Volume Two,4,English,0.4065,4.9,18,5.4,NA,146810,two-creeleymcclure-1965
517,The Dead,1960,By Brakhage: An Anthology Volume Two,11,English,0.1322,4.7,24,5.4,NA,145033,the-dead-1960
517,The Wonder Ring,1955,By Brakhage: An Anthology Volume Two,6,English,0.4303,6,36,6,NA,147676,the-wonder-ring-1955
516,Stagecoach,1939,Standalone,96,English,3.1706,7.617,1214,7.8,93,995,stagecoach-1939
515,The Fugitive Kind,1960,Standalone,119,English,2.6765,6.8,114,7.1,NA,47837,the-fugitive-kind-1960
514,Ride with the Devil,1999,Standalone,138,English,1.6463,6.3,203,6.7,69,22267,ride-with-the-devil-1999
513,Summer Hours,2008,Standalone,103,French,1.4064,6.4,177,7.1,86,8282,summer-hours-2008
512,Vivre Sa Vie,1962,Standalone,84,French,1.3811,7.709,691,7.8,NA,1626,vivre-sa-vie-1962
511,Colossal Youth,2006,Letters From Fontainhas: Three Films by Pedro Costa,155,Portuguese,0.3521,7.1,50,6.9,NA,82404,colossal-youth-2006
510,In Vanda's Room,2000,Letters From Fontainhas: Three Films by Pedro Costa,171,Portuguese,0.9158,6.679,53,7,NA,87063,in-vandas-room-2000
509,Ossos,1997,Letters From Fontainhas: Three Films by Pedro Costa,97,Portuguese,0.562,6.7,45,6.8,NA,55700,ossos-1997
507,Bigger Than Life,1956,Standalone,95,English,1.1575,7.193,179,7.4,NA,26036,bigger-than-life-1956
506,Dillinger Is Dead,1969,Standalone,95,Italian,0.8464,7.124,141,6.9,NA,56693,dillinger-is-dead-1969
505,Make Way for Tomorrow,1937,Standalone,92,English,2.2013,7.5,215,8.2,NA,41059,make-way-for-tomorrow-1937
504,Hunger,2008,Standalone,96,English,2.2993,7.246,1197,7.5,82,10360,hunger-2008
503,Lola Montès,1955,Standalone,116,French,1.6695,6.836,143,7.2,NA,35987,lola-montès-1955
