movie_id,country
poison-1951,France
meantime-1983,United Kingdom
the-breaking-point-1950,United States of America
stalker-1979,Soviet Union
lost-in-america-1985,United States of America
largent-1983,France
largent-1983,Switzerland
the-lodger-a-story-of-the-london-fog-1927,United Kingdom
césar-1936,France
fanny-1932,France
marius-1931,France
they-live-by-night-1948,United States of America
taipei-story-1985,Taiwan
law-of-the-border-1966,Turkey
limite-1931,Brazil
revenge-1989,Hong Kong
mysterious-object-at-noon-2000,Thailand
mysterious-object-at-noon-2000,Netherlands
insiang-1976,Philippines
ghost-world-2001,United Kingdom
ghost-world-2001,United States of America
ghost-world-2001,Germany
dheepan-2015,France
othello-1951,Italy
othello-1951,United States of America
othello-1951,Morocco
rumble-fish-1983,United States of America
tampopo-1985,Japan
woman-of-the-year-1942,United States of America
buena-vista-social-club-1999,Germany
buena-vista-social-club-1999,United States of America
buena-vista-social-club-1999,United Kingdom
buena-vista-social-club-1999,France
buena-vista-social-club-1999,Cuba
blowup-1966,United Kingdom
blowup-1966,United States of America
blowup-1966,Italy
being-there-1979,United States of America
multiple-maniacs-1970,United States of America
canoa-a-shameful-memory-1976,Mexico
45-years-2015,United Kingdom
mildred-pierce-1945,United States of America
before-midnight-2013,Greece
before-midnight-2013,United States of America
before-sunset-2004,United States of America
before-sunrise-1995,Austria
before-sunrise-1995,United States of America
women-on-the-verge-of-a-nervous-breakdown-1988,Spain
the-tree-of-wooden-clogs-1978,Italy
cameraperson-2016,United States of America
black-girl-1966,France
black-girl-1966,Senegal
fox-and-his-friends-1975,Germany
something-wild-1961,United States of America
his-girl-friday-1940,United States of America
roma-1972,France
roma-1972,Italy
the-asphalt-jungle-1950,United States of America
heart-of-a-dog-2015,United States of America
the-squid-and-the-whale-2005,United States of America
oneeyed-jacks-1961,United States of America
punchdrunk-love-2002,United States of America
dreams-1990,Japan
dreams-1990,United States of America
lone-wolf-and-cub-white-heaven-in-hell-1974,Japan
lone-wolf-and-cub-baby-cart-in-the-land-of-demons-1973,Japan
lone-wolf-and-cub-baby-cart-in-peril-1972,Japan
lone-wolf-and-cub-baby-cart-to-hades-1972,Japan
lone-wolf-and-cub-baby-cart-at-the-river-styx-1972,Japan
lone-wolf-and-cub-sword-of-vengeance-1972,Japan
the-executioner-1963,Germany
boyhood-2014,United States of America
pans-labyrinth-2006,Mexico
pans-labyrinth-2006,Spain
pans-labyrinth-2006,United States of America
dekalog-1989,Germany
dekalog-1989,Poland
beyond-the-valley-of-the-dolls-1970,United States of America
