movie_id,genre
a-tale-of-springtime-1990,Romance
mudbound-2017,Drama
trainspotting-1996,Drama
trainspotting-1996,Crime
the-meetings-of-anna-1978,Drama
news-from-home-1976,Documentary
je-tu-il-elle-1974,Drama
le-158-1973,Documentary
le-158-1973,Drama
hotel-monterey-1973,Documentary
the-chamber-1972,Documentary
the-beloved-child-or-i-play-at-being-a-married-woman-1971,Documentary
saute-ma-ville-1968,Drama
saute-ma-ville-1968,Comedy
lone-star-1996,Drama
lone-star-1996,Mystery
lone-star-1996,Romance
guillermo-del-toros-pinocchio-2022,Animation
guillermo-del-toros-pinocchio-2022,Fantasy
guillermo-del-toros-pinocchio-2022,Adventure
guillermo-del-toros-pinocchio-2022,Drama
circus-angel-1965,Comedy
circus-angel-1965,Fantasy
stowaway-in-the-sky-1960,Adventure
stowaway-in-the-sky-1960,Family
the-red-balloon-1956,Comedy
the-red-balloon-1956,Drama
the-red-balloon-1956,Family
the-red-balloon-1956,Fantasy
white-mane-1953,Drama
white-mane-1953,Family
bim-the-little-donkey-1951,Drama
bim-the-little-donkey-1951,Family
la-cérémonie-1995,Drama
la-cérémonie-1995,Thriller
mean-streets-1973,Drama
mean-streets-1973,Crime
my-lucky-stars-1985,Action
my-lucky-stars-1985,Comedy
the-young-master-1980,Action
the-young-master-1980,Comedy
fearless-hyena-2-1983,Action
fearless-hyena-2-1983,Comedy
fearless-hyena-1979,Action
fearless-hyena-1979,Comedy
spiritual-kung-fu-1978,Action
half-a-loaf-of-kung-fu-1978,Comedy
half-a-loaf-of-kung-fu-1978,Action
nanny-2022,Horror
nanny-2022,Drama
the-others-2001,Horror
the-others-2001,Mystery
the-others-2001,Thriller
freaks-1932,Drama
freaks-1932,Horror
the-unknown-1927,Drama
the-unknown-1927,Thriller
the-unknown-1927,Romance
the-unknown-1927,Horror
the-mystic-1925,Drama
la-bamba-1987,Drama
la-bamba-1987,Music
moonage-daydream-2022,Documentary
moonage-daydream-2022,Music
the-trial-1962,Crime
the-trial-1962,Drama
the-trial-1962,Mystery
drylongso-1998,Drama
adalen-31-1969,Drama
adalen-31-1969,History
adalen-31-1969,Romance
elvira-madigan-1967,Drama
elvira-madigan-1967,Romance
elvira-madigan-1967,History
ravens-end-1963,Drama
the-baby-carriage-1963,Drama
dim-sum-a-little-bit-of-heart-1985,Comedy
one-false-move-1991,Crime
one-false-move-1991,Drama
one-false-move-1991,Thriller
comanche-station-1960,Western
ride-lonesome-1959,Western
buchanan-rides-alone-1958,Western
decision-at-sundown-1957,Western
the-tall-t-1957,Western
after-hours-1985,Comedy
after-hours-1985,Thriller
after-hours-1985,Drama
the-watermelon-woman-1996,Drama
the-watermelon-woman-1996,Comedy
the-watermelon-woman-1996,Romance
medicine-for-melancholy-2008,Drama
medicine-for-melancholy-2008,Romance
the-servant-1963,Drama
petite-maman-2021,Drama
petite-maman-2021,Fantasy
thelma-louise-1991,Drama
thelma-louise-1991,Crime
thelma-louise-1991,Adventure
targets-1968,Crime
targets-1968,Thriller
triangle-of-sadness-2022,Comedy
triangle-of-sadness-2022,Drama
mangrove-2020,Drama
lovers-rock-2020,Drama
red-white-and-blue-2020,Drama
alex-wheatle-2020,Drama
education-2020,Drama
chilly-scenes-of-winter-1979,Comedy
chilly-scenes-of-winter-1979,Drama
chilly-scenes-of-winter-1979,Romance
inland-empire-2006,Horror
inland-empire-2006,Thriller
inland-empire-2006,Mystery
inland-empire-2006,Drama
inland-empire-2006,Fantasy
last-hurrah-for-chivalry-1979,Action
last-hurrah-for-chivalry-1979,Drama
hollywood-shuffle-1987,Comedy
baxter-vera-baxter-1977,Mystery
baxter-vera-baxter-1977,Drama
india-song-1975,Drama
india-song-1975,Romance
romeo-and-juliet-1968,Drama
romeo-and-juliet-1968,Romance
bergman-island-2021,Drama
bergman-island-2021,Romance
this-is-not-a-burial-its-a-resurrection-2019,Drama
epidemic-1987,Drama
epidemic-1987,Horror
imitation-of-life-1934,Drama
imitation-of-life-1934,Romance
the-adventures-of-baron-munchausen-1988,Fantasy
the-adventures-of-baron-munchausen-1988,Adventure
the-adventures-of-baron-munchausen-1988,Comedy
cooley-high-1975,Comedy
cooley-high-1975,Drama
cooley-high-1975,Romance
the-velvet-underground-2021,Documentary
the-velvet-underground-2021,Music
71-fragments-of-a-chronology-of-chance-1994,Drama
bennys-video-1992,Crime
bennys-video-1992,Drama
the-seventh-continent-1989,Drama
the-girls-1968,Romance
the-girls-1968,Comedy
the-girls-1968,Drama
night-games-1966,Drama
loving-couples-1964,Drama
walle-2008,Animation
walle-2008,Family
walle-2008,Science Fiction
malcolm-x-1992,Drama
malcolm-x-1992,History
infernal-affairs-iii-2003,Crime
infernal-affairs-iii-2003,Drama
infernal-affairs-iii-2003,Action
infernal-affairs-ii-2003,Crime
infernal-affairs-ii-2003,Drama
infernal-affairs-ii-2003,Action
infernal-affairs-2002,Drama
infernal-affairs-2002,Action
infernal-affairs-2002,Thriller
infernal-affairs-2002,Crime
infernal-affairs-2002,Mystery
the-power-of-the-dog-2021,Drama
the-power-of-the-dog-2021,Western
daisies-1966,Comedy
daisies-1966,Drama
la-llorona-2019,Thriller
la-llorona-2019,Horror
la-llorona-2019,Drama
cure-1997,Crime
cure-1997,Thriller
cure-1997,Horror
cure-1997,Mystery
eves-bayou-1997,Drama
arsenic-and-old-lace-1944,Comedy
arsenic-and-old-lace-1944,Crime
lost-highway-1997,Drama
lost-highway-1997,Thriller
lost-highway-1997,Mystery
sound-of-metal-2019,Drama
sound-of-metal-2019,Music
exotica-1994,Drama
take-out-2004,Drama
kalpana-1948,Music
two-girls-on-the-street-1939,Drama
two-girls-on-the-street-1939,Comedy
muna-moto-1975,Drama
muna-moto-1975,Romance
chess-of-the-wind-1976,Drama
chess-of-the-wind-1976,Mystery
chess-of-the-wind-1976,Thriller
prisoners-of-the-land-1939,Drama
sambizanga-1972,Drama
faya-dayi-2021,Documentary
buck-and-the-preacher-1972,Action
buck-and-the-preacher-1972,Comedy
buck-and-the-preacher-1972,Western
buck-and-the-preacher-1972,Adventure
buck-and-the-preacher-1972,Drama
hôtel-du-nord-1938,Romance
hôtel-du-nord-1938,Drama
daddy-longlegs-2009,Drama
daddy-longlegs-2009,Comedy
frownland-2007,Comedy
frownland-2007,Drama
drive-my-car-2021,Drama
devil-in-a-blue-dress-1995,Thriller
devil-in-a-blue-dress-1995,Crime
devil-in-a-blue-dress-1995,Mystery
raging-bull-1980,Drama
raging-bull-1980,History
okja-2017,Adventure
okja-2017,Drama
okja-2017,Science Fiction
the-worst-person-in-the-world-2021,Drama
the-worst-person-in-the-world-2021,Romance
the-worst-person-in-the-world-2021,Comedy
pink-flamingos-1972,Comedy
pink-flamingos-1972,Crime
shaft-1971,Action
shaft-1971,Crime
shaft-1971,Thriller
rouge-1987,Drama
rouge-1987,Fantasy
rouge-1987,Romance
rouge-1987,Mystery
farewell-amor-2020,Romance
farewell-amor-2020,Drama
mississippi-masala-1991,Drama
mississippi-masala-1991,Romance
double-indemnity-1944,Crime
double-indemnity-1944,Thriller
the-funeral-1984,Comedy
the-funeral-1984,Drama
chan-is-missing-1982,Drama
chan-is-missing-1982,Mystery
chan-is-missing-1982,Crime
mr-klein-1976,Mystery
mr-klein-1976,Drama
mr-klein-1976,Thriller
round-midnight-1986,Drama
round-midnight-1986,Music
eyimofe-this-is-my-desire-2020,Drama
the-girl-cant-help-it-1956,Comedy
the-girl-cant-help-it-1956,Music
miracle-in-milan-1951,Comedy
miracle-in-milan-1951,Fantasy
miracle-in-milan-1951,Drama
the-last-waltz-1978,Documentary
the-last-waltz-1978,Music
love-jones-1997,Comedy
love-jones-1997,Drama
love-jones-1997,Romance
the-flight-of-the-phoenix-1965,Adventure
the-flight-of-the-phoenix-1965,Drama
adoption-1975,Drama
love-affair-1939,Drama
love-affair-1939,Romance
boat-people-1982,Drama
millers-crossing-1990,Drama
millers-crossing-1990,Thriller
millers-crossing-1990,Crime
dick-johnson-is-dead-2020,Documentary
the-piano-1993,Drama
the-piano-1993,Romance
time-2020,Documentary
the-celebration-1998,Drama
the-learning-tree-1969,Drama
one-night-in-miami-2020,Drama
menace-ii-society-1993,Drama
menace-ii-society-1993,Crime
menace-ii-society-1993,Thriller
citizen-kane-1941,Mystery
citizen-kane-1941,Drama
once-upon-a-time-in-china-v-1994,Action
once-upon-a-time-in-china-v-1994,Drama
once-upon-a-time-in-china-iv-1993,Action
once-upon-a-time-in-china-iv-1993,Adventure
once-upon-a-time-in-china-iv-1993,History
once-upon-a-time-in-china-iii-1992,Action
once-upon-a-time-in-china-ii-1992,Action
once-upon-a-time-in-china-ii-1992,Comedy
once-upon-a-time-in-china-1991,Action
once-upon-a-time-in-china-1991,Drama
devi-1960,Comedy
devi-1960,Fantasy
devi-1960,Drama
uncut-gems-2019,Drama
uncut-gems-2019,Thriller
uncut-gems-2019,Crime
the-incredible-shrinking-man-1957,Science Fiction
the-incredible-shrinking-man-1957,Drama
the-incredible-shrinking-man-1957,Adventure
the-incredible-shrinking-man-1957,Horror
high-sierra-1941,Crime
high-sierra-1941,Drama
high-sierra-1941,Action
the-damned-1969,Drama
the-damned-1969,History
love-basketball-2000,Comedy
love-basketball-2000,Drama
love-basketball-2000,Romance
dont-play-us-cheap-1973,Romance
dont-play-us-cheap-1973,Comedy
dont-play-us-cheap-1973,Music
sweet-sweetbacks-baadasssss-song-1971,Action
sweet-sweetbacks-baadasssss-song-1971,Crime
sweet-sweetbacks-baadasssss-song-1971,Drama
sweet-sweetbacks-baadasssss-song-1971,Thriller
watermelon-man-1970,Comedy
the-story-of-a-threeday-pass-1967,Drama
the-story-of-a-threeday-pass-1967,Romance
throw-down-2004,Drama
throw-down-2004,Action
beasts-of-no-nation-2015,Drama
beasts-of-no-nation-2015,War
original-cast-album-company-1970,Documentary
original-cast-album-company-1970,Music
after-life-1998,Fantasy
after-life-1998,Drama
the-swimming-pool-1969,Drama
the-swimming-pool-1969,Thriller
working-girls-1986,Drama
deep-cover-1992,Action
deep-cover-1992,Thriller
deep-cover-1992,Crime
bringing-up-baby-1938,Comedy
bringing-up-baby-1938,Romance
mirror-1975,Drama
mirror-1975,History
pariah-2011,Drama
black-is-black-aint-1994,Documentary
no-regret-1993,Action
color-adjustment-1992,Documentary
color-adjustment-1992,History
anthem-1992,Music
affirmations-1990,Documentary
tongues-untied-1989,Documentary
ethnic-notions-1986,Documentary
visions-of-eight-1973,Documentary
tiny-the-life-of-erin-blackwell-2016,Documentary
streetwise-1984,Documentary
nightmare-alley-1947,Drama
nightmare-alley-1947,Thriller
nightmare-alley-1947,Crime
flowers-of-shanghai-1998,Drama
merrily-we-go-to-hell-1932,Comedy
merrily-we-go-to-hell-1932,Drama
merrily-we-go-to-hell-1932,Romance
fast-times-at-ridgemont-high-1982,Comedy
fast-times-at-ridgemont-high-1982,Romance
irma-vep-1996,Comedy
irma-vep-1996,Drama
memories-of-murder-2003,Crime
memories-of-murder-2003,Drama
memories-of-murder-2003,Thriller
history-is-made-at-night-1937,Romance
history-is-made-at-night-1937,Drama
defending-your-life-1991,Romance
defending-your-life-1991,Fantasy
defending-your-life-1991,Comedy
defending-your-life-1991,Drama
secrets-lies-1996,Drama
céline-and-julie-go-boating-1974,Comedy
céline-and-julie-go-boating-1974,Drama
céline-and-julie-go-boating-1974,Fantasy
smooth-talk-1985,Drama
smooth-talk-1985,Thriller
chop-shop-2007,Drama
man-push-cart-2005,Drama
mandabi-1968,Comedy
mandabi-1968,Drama
the-parallax-view-1974,Crime
the-parallax-view-1974,Drama
the-parallax-view-1974,Thriller
the-ascent-1977,Drama
the-ascent-1977,War
rolling-thunder-revue-a-bob-dylan-story-by-martin-scorsese-2019,Documentary
rolling-thunder-revue-a-bob-dylan-story-by-martin-scorsese-2019,Music
minding-the-gap-2018,Documentary
amores-perros-2000,Drama
amores-perros-2000,Thriller
crash-1996,Thriller
crash-1996,Drama
the-irishman-2019,Crime
the-irishman-2019,Drama
the-irishman-2019,History
ghost-dog-the-way-of-the-samurai-1999,Crime
ghost-dog-the-way-of-the-samurai-1999,Drama
moonstruck-1987,Comedy
moonstruck-1987,Drama
moonstruck-1987,Romance
girlfriends-1978,Drama
girlfriends-1978,Comedy
parasite-2019,Comedy
parasite-2019,Thriller
parasite-2019,Drama
the-gunfighter-1950,Western
claudine-1974,Drama
claudine-1974,Romance
claudine-1974,Comedy
the-elephant-man-1980,Drama
the-elephant-man-1980,History
downpour-1972,Drama
downpour-1972,Romance
downpour-1972,Comedy
oh-sun-1970,Drama
two-monks-1934,Drama
two-monks-1934,Romance
two-monks-1934,Mystery
pixote-1980,Crime
pixote-1980,Drama
after-the-curfew-1954,Drama
lucía-1968,Drama
christ-stopped-at-eboli-1979,Drama
beau-travail-1999,Drama
the-comfort-of-strangers-1990,Thriller
the-comfort-of-strangers-1990,Drama
the-comfort-of-strangers-1990,Crime
the-comfort-of-strangers-1990,Fantasy
toni-1935,Drama
toni-1935,Romance
town-bloody-hall-1979,Documentary
marriage-story-2019,Drama
the-war-of-the-worlds-1953,Science Fiction
the-war-of-the-worlds-1953,Action
game-of-death-1978,Drama
game-of-death-1978,Action
game-of-death-1978,Thriller
enter-the-dragon-1973,Action
the-way-of-the-dragon-1972,Action
the-way-of-the-dragon-1972,Crime
fist-of-fury-1972,Drama
fist-of-fury-1972,Action
fist-of-fury-1972,Thriller
the-big-boss-1971,Action
come-and-see-1985,Drama
come-and-see-1985,War
portrait-of-a-lady-on-fire-2019,Drama
portrait-of-a-lady-on-fire-2019,Romance
the-cameraman-1928,Comedy
the-cameraman-1928,Romance
an-unmarried-woman-1978,Drama
an-unmarried-woman-1978,Romance
an-unmarried-woman-1978,Comedy
wildlife-2018,Drama
italianamerican-1974,Documentary
american-boy-a-profile-of-steven-prince-1978,Documentary
the-big-shave-1967,Horror
the-big-shave-1967,Drama
its-not-just-you-murray-1964,Comedy
its-not-just-you-murray-1964,Crime
whats-a-nice-girl-like-you-doing-in-a-place-like-this-1963,Comedy
husbands-1970,Comedy
husbands-1970,Drama
dance-girl-dance-1940,Drama
dance-girl-dance-1940,Comedy
dance-girl-dance-1940,Romance
the-great-escape-1963,Adventure
the-great-escape-1963,Drama
the-great-escape-1963,War
me-and-you-and-everyone-we-know-2005,Comedy
me-and-you-and-everyone-we-know-2005,Drama
